#              k               1              b1           b1*b1
           0.005         2041.18         9555.95         20131.6
          0.0075         2576.82         12063.6         25414.5
            0.01         2897.56         13565.2         28578.1
          0.0125         3057.13         14312.3         30152.3
           0.015         3094.13         14485.6         30517.9
          0.0175         3041.94         14241.5         30004.4
            0.02         2926.43         13700.9         28866.5
           0.025         2591.43         12133.1         25565.7
            0.03         2222.59         10406.8         21930.5
           0.035         1897.25         8883.85         18722.7
            0.04         1645.25         7704.02         16236.7
           0.045          1470.7         6886.86         14514.8
            0.05         1351.73         6330.14         13342.9
           0.055         1264.67         5923.26         12488.4
            0.06         1191.37          5581.3         11772.9
           0.065         1110.94         5205.94         10986.8
            0.07         1019.38         4777.86         10087.2
           0.075         919.585         4310.22         9099.65
            0.08         820.085         3842.86         8107.84
           0.085         729.808            3418         7202.48
            0.09         654.763         3064.43         6447.36
           0.095         596.924          2792.1         5866.49
             0.1         554.647         2593.75         5446.67
           0.105         523.918         2450.72         5149.17
            0.11         499.917         2340.27         4925.41
           0.115         477.765         2238.94         4723.11
            0.12          454.15         2130.42         4504.12
           0.125         427.488         2006.37         4246.47
            0.13         399.012         1872.45         3961.43
           0.135         370.413         1736.86         3667.69
            0.14          343.45         1608.39         3386.15
           0.145         319.486         1494.04         3134.66
            0.15          299.17         1397.37         2923.31
           0.155         282.492         1318.77         2755.25
            0.16         268.525         1253.86         2621.14
            0.17         245.124         1147.05         2410.32
            0.18         223.484         1047.93         2213.39
            0.19         202.248         948.256         2002.33
             0.2         182.951         856.228         1799.37
            0.21         166.666         778.784         1629.54
            0.22         152.986         714.891         1495.87
            0.23         140.973         659.437          1383.9
            0.24          130.06         608.852         1280.71
            0.25         120.149          562.36         1182.54
            0.26         111.267         520.508         1092.57
            0.27         103.349         483.287         1013.09
            0.28         96.2335         450.049         943.461
            0.29         89.7962         420.006          881.06
             0.3         83.9435         392.607          823.81
            0.31         78.5884         367.524         771.038
            0.32         73.6946         344.609         722.689
            0.33          69.208         323.663         678.732
            0.34         65.1181         304.551         638.682
            0.35         61.3918         287.087         601.975
            0.36         57.9726         271.036         568.155
            0.37         54.8262         256.258         536.917
            0.38          51.908         242.584         508.101
            0.39         49.2141         229.971         481.526
             0.4         46.7349         218.355         457.006
           0.005         5831.95         19111.9       0.0140678
          0.0075         7362.31         24127.1       0.0229104
            0.01         8278.66         27130.1      -0.0177613
          0.0125         8734.46         28623.8       -0.180089
           0.015         8839.98         28969.8       -0.494774
          0.0175         8690.65         28480.7       -0.991776
            0.02         8360.29         27398.4        -1.60791
           0.025         7402.44         24260.3         -2.5926
            0.03         6347.92         20805.7        -1.82095
           0.035         5417.89         17759.3         1.64529
            0.04         4697.59         15400.2         6.99928
           0.045         4198.63         13766.3         11.1033
            0.05         3858.33         12652.2         11.3306
           0.055            3609         11836.2         6.33505
            0.06         3398.77         11148.2        -4.50131
           0.065         3168.39         10393.9         -15.049
            0.07         2906.72          9537.1        -19.8099
           0.075         2622.33         8605.85        -14.1353
            0.08         2339.52         7679.96         2.36051
           0.085         2083.47         6841.67         25.1611
            0.09         1870.89         6145.35         47.0163
           0.095         1706.95         5607.81         60.5883
             0.1         1586.63         5212.85         60.9744
           0.105         1498.43         4922.91         47.0812
            0.11         1428.75         4693.44         21.2636
           0.115         1364.14         4480.35        -8.92745
            0.12         1295.65          4254.7        -34.1927
           0.125         1219.31         4003.93        -44.0893
            0.13         1138.65          3739.7         -37.604
           0.135         1058.27         3476.78        -18.2986
            0.14         982.845         3230.07         7.72749
           0.145         915.832         3010.74         32.6716
            0.15          858.77         2823.78         49.9218
           0.155         811.388         2668.16         53.8861
            0.16         771.113         2535.39         45.3434
            0.17         702.475         2308.06         7.41919
            0.18          639.37         2099.54        -22.8992
            0.19         578.961          1901.3        -19.9867
             0.2         524.794         1724.26         2.68605
            0.21         478.931          1574.2         18.7043
            0.22          439.57          1444.6         15.5842
            0.23         404.741         1329.51         3.07864
            0.24         373.254         1225.61        -5.25474
            0.25          344.89         1132.45        -4.42834
            0.26         319.665         1049.76        0.406109
            0.27         296.955         975.325         3.15201
            0.28         276.542         908.181         2.31852
            0.29         258.057         847.291        0.270341
             0.3         241.265         792.045       -0.712734
            0.31         225.985         741.759       -0.534105
            0.32         211.883         695.529       -0.161324
            0.33         198.987         653.162       -0.286023
            0.34         187.224          614.52       -0.571285
            0.35         176.533         579.407       -0.574653
            0.36         166.795         547.334       -0.246118
            0.37          157.77         517.741        0.204512
            0.38         149.409         490.266        0.502969
            0.39         141.656         464.842        0.732998
             0.4         134.516         441.449         1.04528
           0.005         2332.78      -0.0138361      0.00250959
          0.0075         2944.89       -0.089139      0.00387461
            0.01         3311.36       -0.301142      -0.0041553
          0.0125         3493.55       -0.744459      -0.0346414
           0.015         3535.53        -1.43462      -0.0926405
          0.0175         3475.49        -2.41899       -0.182316
            0.02         3342.93        -3.61082       -0.290442
           0.025         2958.83        -6.11409        -0.44589
            0.03          2536.1        -7.55975       -0.263653
           0.035         2163.41        -7.09954        0.400792
            0.04         1874.88        -5.16006         1.36309
           0.045         1674.87        -3.65914         2.05949
            0.05         1537.96        -4.11959         2.05993
           0.055         1436.86        -7.21866         1.20517
            0.06         1350.86        -13.2035       -0.452336
           0.065         1257.16        -18.4369         -1.9026
            0.07            1152         -19.719        -2.33514
           0.075         1039.13        -14.4474        -1.24034
            0.08         928.108         -2.6978         1.19502
           0.085         828.494         12.4675         4.17413
            0.09         746.303         26.5334         6.70326
           0.095         682.774         35.3356         7.99063
             0.1          635.16         36.4588         7.71852
           0.105         598.662         29.7015         6.10798
            0.11         568.367         16.6805         3.81173
           0.115         539.993         1.64281         1.71406
            0.12          510.89         -10.372        0.505276
           0.125         480.121        -14.1459        0.314551
            0.13         448.971        -9.51053        0.797939
           0.135         419.049         1.25686         1.47586
            0.14         391.819         14.7111         1.87047
           0.145         367.849         26.9567         1.76012
            0.15         346.885          34.999          1.2093
           0.155         328.288         36.5741        0.717498
            0.16         311.432         32.3561        0.665975
            0.17         281.448         15.1022         2.35485
            0.18         254.212         2.46237         4.84736
            0.19         230.661         3.99628         4.52143
             0.2         211.099         12.5826         1.01516
            0.21         193.694         17.7812        -2.31119
            0.22         177.952         15.8212        -2.21267
            0.23         163.291          11.246        0.599753
            0.24         150.343         8.54739         2.98717
            0.25         139.269         8.62296         2.76977
            0.26         129.262          9.2729        0.655384
            0.27         120.301         9.03773        -1.16428
            0.28         111.986         8.15273        -1.29034
            0.29         104.573         7.62206       -0.150573
             0.3         97.9945         7.66287        0.911597
            0.31         91.8602         7.54579         1.01667
            0.32         86.1814         6.98363        0.325768
            0.33         80.8357         6.07875       -0.364487
            0.34         76.0481         5.54345       -0.505683
            0.35         71.8293         5.60251       -0.133813
            0.36         68.0005          5.8658        0.328629
            0.37         64.4579         6.05408        0.532105
            0.38         61.0632          5.8404        0.434739
            0.39         57.8843         5.50538        0.215819
             0.4          54.967         5.26259       0.0394031
